name,planned_n_steps,executed_n_steps,execution_time,simulation_exceptions,contract_exceptions,mechanism_exceptions,other_exceptions,n_agent_exceptions,n_negotiator_exceptions,mean_agent_time,n_neg_requests_sent,n_neg_requests_received,n_neg_requests_rejected,n_negs_registered,n_negs_succeeded,n_negs_failed,n_negs_timedout,n_negs_initiated,n_contracts_concluded,n_contracts_signed,n_contracts_dropped,n_breaches_received,n_breaches_committed,n_contracts_erred,n_contracts_nullified,n_contracts_breached,n_contracts_executed
000120251205H113942213462aczN_LitaAgentN-LitaAgentP-Xdvz.04,81,81,86.31950904200494,[],[],[],[],0,0,3.060575930730385e-07,2996,5992,0,5992,2624,3368,310,2996,4200,8360,136,0,0,0,0,0,4044
000220251205H1139423084075ixF_L-X-PSRF.07,58,58,16.507165589995566,[],[],[],[],0,0,3.162989742122591e-07,928,1856,0,1856,790,1062,74,928,1678,3324,0,0,0,0,0,0,1662
000320251205H1139423651402d3f_LitaAgentY-LitaAgentC-UTyI.10,70,70,23.240685912009212,[],[],[],[],0,0,2.822984242811799e-07,972,1944,0,1944,866,1078,186,972,1954,3880,18,0,0,0,0,0,1922
000320251205H1139423651402d3f_LitaAgentY-LitaAgentP-PxPV.10,70,70,18.84565102600027,[],[],[],[],0,0,3.263005055487156e-07,1004,2008,0,2008,680,1324,110,1004,1768,3508,2,0,0,0,0,0,1752
000020251205H113942142818qBUX_LitaAgentY-LitaAgentN-OIbR.00,82,82,80.30587230200035,[],[],[],[],0,0,3.001764793332447e-07,2660,5320,0,5320,1796,3522,46,2660,3170,6304,208,0,0,0,0,0,2944
000420251205H113942444814iCAZ_L-U-P4Ek.13,100,100,48.40350077000039,[],[],[],[],0,0,3.5849952837452295e-07,1456,2912,0,2912,680,2232,298,1456,2202,4372,8,0,0,0,0,0,2178
000420251205H113942444814iCAZ_LitaAgentY-LitaAgentN-Ka95.13,100,100,41.70004264400632,[],[],[],[],0,0,3.072971594519913e-07,1398,2796,0,2796,588,2208,472,1398,2110,4188,18,0,0,0,0,0,2076
000220251205H1139423084075ixF_LitaAgentY-LitaAgentN-Pi7a.08,58,58,17.366825410994352,[],[],[],[],0,0,3.1179952202364803e-07,928,1856,0,1856,762,1088,84,928,1650,3268,0,0,0,0,0,0,1634
000120251205H113942213462aczN_L-P-K56f.05,81,81,515.3393331629995,[],[],[],[],0,0,3.0582476242938465e-07,2702,5404,0,5404,2450,2954,82,2702,4026,8012,154,0,0,0,0,0,3852
000020251205H113942142818qBUX_L-P-OOXo.02,82,82,94.27958981600386,[],[],[],[],0,0,3.078239387832582e-07,2988,5976,0,5976,1848,4124,74,2988,3222,6408,182,0,0,0,0,0,3022
000320251205H1139423651402d3f_L-X-PUPV.10,70,70,20.260211024004093,[],[],[],[],0,0,3.196008037775755e-07,936,1872,0,1872,692,1176,110,936,1780,3532,8,0,0,0,0,0,1758
000120251205H113942213462aczN_L-P-KI7A.05,81,81,74.57089518599969,[],[],[],[],0,0,2.999971483779304e-07,2984,5968,0,5968,3122,2846,50,2984,4698,9356,146,0,0,0,0,0,4532
000420251205H113942444814iCAZ_L-X-UMU8.14,100,100,53.86079250500188,[],[],[],[],0,0,3.139008185826242e-07,1469,2938,0,2938,726,2212,444,1469,2248,4464,22,0,0,0,0,0,2210
000420251205H113942444814iCAZ_LitaAgentC-LitaAgentP-PtOL.12,100,100,496.19461314699583,[],[],[],[],0,0,2.996006514877081e-07,1417,2834,0,2834,780,2054,140,1417,2302,4572,10,0,0,0,0,0,2276
000220251205H1139423084075ixF_LitaAgentC-LitaAgentP-XfdS.06,58,58,27.199002096000186,[],[],[],[],0,0,3.043998731300235e-07,928,1856,0,1856,644,1212,94,928,1532,3032,0,0,0,0,0,0,1516
000020251205H113942142818qBUX_LitaAgentY-LitaAgentP-UnsP.01,82,82,82.94005189299787,[],[],[],[],0,0,3.139408791492529e-07,2927,5854,0,5854,1476,4374,38,2927,2850,5664,108,0,0,0,0,0,2724
000420251205H113942444814iCAZ_L-X-PqJO.13,100,100,46.83523016299296,[],[],[],[],0,0,2.8290378395467997e-07,1409,2818,0,2818,534,2284,346,1409,2056,4080,8,0,0,0,0,0,2032
000220251205H1139423084075ixF_X-P-OjOg.07,58,58,27.428425822989084,[],[],[],[],0,0,3.2230018405243753e-07,916,1832,0,1832,848,984,86,916,1736,3440,8,0,0,0,0,0,1712
