index,agent_id,agent_name,agent_type,base_stats_folder,log_file,run_id,score,stats_folders,world
2262,00LCI@0,00LCI@0,scml.oneshot.sysagents.DefaultOneShotAdapter:litaagent_std.litaagent_cir.LitaAgentCIR,,,000620251204H1915178143673RTl_LitaAgentY-LitaAgentC-XpIE.19_1f1f471,0.017017589910778,,000620251204H1915178143673RTl_LitaAgentY-LitaAgentC-XpIE.19_1
2263,05Xe@1,05Xe@1,scml.oneshot.sysagents.DefaultOneShotAdapter:scml_agents.scml2025.standard.team_253.master_sota_agent.XenoSotaAgent,,,000620251204H1915178143673RTl_LitaAgentY-LitaAgentC-XpIE.19_1f1f471,1.4271322416870067,,000620251204H1915178143673RTl_LitaAgentY-LitaAgentC-XpIE.19_1
2264,09LYR@2,09LYR@2,scml.oneshot.sysagents.DefaultOneShotAdapter:litaagent_std.litaagent_yr.LitaAgentYR,,,000620251204H1915178143673RTl_LitaAgentY-LitaAgentC-XpIE.19_1f1f471,1.134146026756743,,000620251204H1915178143673RTl_LitaAgentY-LitaAgentC-XpIE.19_1
2265,00LCI@0,00LCI@0,scml.oneshot.sysagents.DefaultOneShotAdapter:litaagent_std.litaagent_cir.LitaAgentCIR,,,000220251204H191517544409YyAK_LitaAgentY-LitaAgentYR-LitaAgentC75k.08_1a01fe7,0.927064095806362,,000220251204H191517544409YyAK_LitaAgentY-LitaAgentYR-LitaAgentC75k.08_1
2266,01LYR@0,01LYR@0,scml.oneshot.sysagents.DefaultOneShotAdapter:litaagent_std.litaagent_yr.LitaAgentYR,,,000220251204H191517544409YyAK_LitaAgentY-LitaAgentYR-LitaAgentC75k.08_1a01fe7,0.9629907778544554,,000220251204H191517544409YyAK_LitaAgentY-LitaAgentYR-LitaAgentC75k.08_1
2267,04Li@1,04Li@1,scml.oneshot.sysagents.DefaultOneShotAdapter:litaagent_std.litaagent_y.LitaAgentY,,,000220251204H191517544409YyAK_LitaAgentY-LitaAgentYR-LitaAgentC75k.08_1a01fe7,0.8606507950977013,,000220251204H191517544409YyAK_LitaAgentY-LitaAgentYR-LitaAgentC75k.08_1
2268,00LCI@0,00LCI@0,scml.oneshot.sysagents.DefaultOneShotAdapter:litaagent_std.litaagent_cir.LitaAgentCIR,,,000920251204H191518050476V10x_LitaAgentY-LitaAgentC-LitaAgentPnXY.28_19b3391,0.7572959903438462,,000920251204H191518050476V10x_LitaAgentY-LitaAgentC-LitaAgentPnXY.28_1
2269,05Li@1,05Li@1,scml.oneshot.sysagents.DefaultOneShotAdapter:litaagent_std.litaagent_p.LitaAgentP,,,000920251204H191518050476V10x_LitaAgentY-LitaAgentC-LitaAgentPnXY.28_19b3391,0.480830488964378,,000920251204H191518050476V10x_LitaAgentY-LitaAgentC-LitaAgentPnXY.28_1
2270,06Li@1,06Li@1,scml.oneshot.sysagents.DefaultOneShotAdapter:litaagent_std.litaagent_y.LitaAgentY,,,000920251204H191518050476V10x_LitaAgentY-LitaAgentC-LitaAgentPnXY.28_19b3391,1.0722071735139045,,000920251204H191518050476V10x_LitaAgentY-LitaAgentC-LitaAgentPnXY.28_1
2271,00Li@0,00Li@0,scml.oneshot.sysagents.DefaultOneShotAdapter:litaagent_std.litaagent_p.LitaAgentP,,,000920251204H191518050476V10x_LitaAgentY-LitaAgentC-LitaAgentPnXY.29_2122496,-0.2653156557819395,,000920251204H191518050476V10x_LitaAgentY-LitaAgentC-LitaAgentPnXY.29_2
