world,agent,contracts_erred,exceptions,contracts_dropped,contracts_signed,breaches_received,breaches_committed,contracts_breached,contracts_concluded,neg_requests_rejected,neg_requests_received,negs_initiated,negs_registered,negs_failed,neg_requests_sent,negs_succeeded,negs_timedout,contracts_executed,times,contracts_nullified,negotiator_exceptions
000020251128H1309496249196qBU_LitaAgentY-LitaAgentC-LitaAgentNYvl.00ef005b,02Ra@0,0,[],0,182,0,0,0,92,0,120,0,120,49,0,71,0,91,2.00001522898674e-07,0,[]
000020251128H1309496249196qBU_LitaAgentY-LitaAgentC-LitaAgentNYvl.00ef005b,01LYR@0,0,[],0,134,0,0,0,68,0,120,0,120,72,0,47,0,67,2.00001522898674e-07,0,[]
000020251128H1309496249196qBU_LitaAgentY-LitaAgentYR-LitaAgentNlkC.0119567d,05Li@1,0,[],0,148,0,0,0,75,0,100,100,100,46,100,54,0,74,2.00001522898674e-07,0,[]
000020251128H1309496249196qBU_LitaAgentY-LitaAgentYR-LitaAgentNlkC.0119567d,00LYR@0,0,[],0,124,0,0,0,63,0,120,0,120,78,0,42,0,62,8.00006091594696e-07,0,[]
000020251128H1309496249196qBU_LitaAgentY-LitaAgentYR-LitaAgentNlkC.0119567d,09Ra@1,0,[],0,170,0,0,0,86,0,100,100,100,35,100,65,0,85,2.00001522898674e-07,0,[]
000020251128H1309496249196qBU_LitaAgentY-LitaAgentYR-LitaAgentNlkC.0119567d,BUYER,0,[],0,240,0,0,0,126,0,0,0,0,0,0,0,0,120,2.00001522898674e-07,0,[]
000020251128H1309496249196qBU_LitaAgentY-LitaAgentYR-LitaAgentNlkC.0119567d,01Li@0,0,[],0,218,0,0,0,110,0,120,0,120,31,0,89,0,109,2.00001522898674e-07,0,[]
000020251128H1309496249196qBU_LitaAgentY-LitaAgentYR-LitaAgentNlkC.0119567d,04Eq@0,0,[],0,198,0,0,0,100,0,120,0,120,41,0,79,0,99,2.00001522898674e-07,0,[]
000020251128H1309496249196qBU_LitaAgentY-LitaAgentYR-LitaAgentNlkC.0119567d,SELLER,0,[],0,200,0,0,0,105,0,0,0,0,0,0,0,0,100,2.00001522898674e-07,0,[]
000020251128H1309496249196qBU_LitaAgentY-LitaAgentYR-LitaAgentNlkC.0119567d,03Gr@0,0,[],0,204,0,0,0,103,0,120,0,120,38,0,82,0,102,9.988434612751007e-08,0,[]
000020251128H1309496249196qBU_LitaAgentY-LitaAgentYR-LitaAgentNlkC.0119567d,07Eq@1,0,[],0,142,0,0,0,72,0,100,100,100,49,100,51,0,71,9.988434612751007e-08,0,[]
000020251128H1309496249196qBU_LitaAgentY-LitaAgentYR-LitaAgentNlkC.0119567d,06Gr@1,0,[],0,224,0,0,0,113,0,100,100,100,8,100,92,0,112,2.00001522898674e-07,0,[]
000020251128H1309496249196qBU_LitaAgentY-LitaAgentYR-LitaAgentNlkC.0119567d,10Eq@1,0,[],0,146,0,0,0,74,0,100,100,100,47,100,53,0,73,2.00001522898674e-07,0,[]
000020251128H1309496249196qBU_LitaAgentY-LitaAgentYR-LitaAgentNlkC.0119567d,08Ra@1,0,[],0,150,0,0,0,76,0,100,100,100,45,100,55,0,75,2.00001522898674e-07,0,[]
000020251128H1309496249196qBU_LitaAgentY-LitaAgentYR-LitaAgentNlkC.0119567d,02Ra@0,0,[],0,196,0,0,0,99,0,120,0,120,42,0,78,0,98,2.00001522898674e-07,0,[]
000020251128H1309496249196qBU_LitaAgentY-LitaAgentYR-Maym.0021152f,05Li@1,0,[],0,138,0,0,0,70,0,100,100,100,51,100,49,0,69,3.0011869966983795e-07,0,[]
000020251128H1309496249196qBU_LitaAgentY-LitaAgentYR-Maym.0021152f,00MAT@0,0,[],0,168,0,0,0,85,0,120,0,120,56,0,64,0,84,1.400010660290718e-06,0,[]
000020251128H1309496249196qBU_LitaAgentY-LitaAgentYR-Maym.0021152f,09Ra@1,0,[],0,152,0,0,0,77,0,100,100,100,44,100,56,0,76,3.0011869966983795e-07,0,[]
000020251128H1309496249196qBU_LitaAgentY-LitaAgentYR-Maym.0021152f,BUYER,0,[],0,240,0,0,0,126,0,0,0,0,0,0,0,0,120,2.00001522898674e-07,0,[]
000020251128H1309496249196qBU_LitaAgentY-LitaAgentYR-Maym.0021152f,04Eq@0,0,[],0,202,0,0,0,102,0,120,0,120,39,0,81,0,101,2.998858690261841e-07,0,[]
000020251128H1309496249196qBU_LitaAgentY-LitaAgentYR-Maym.0021152f,SELLER,0,[],0,200,0,0,0,105,0,0,0,0,0,0,0,0,100,3.0011869966983795e-07,0,[]
000020251128H1309496249196qBU_LitaAgentY-LitaAgentYR-Maym.0021152f,03Gr@0,0,[],0,218,0,0,0,110,0,120,0,120,31,0,89,0,109,2.998858690261841e-07,0,[]
000020251128H1309496249196qBU_LitaAgentY-LitaAgentYR-Maym.0021152f,07Eq@1,0,[],0,158,0,0,0,80,0,100,100,100,41,100,59,0,79,2.00001522898674e-07,0,[]
000020251128H1309496249196qBU_LitaAgentY-LitaAgentYR-Maym.0021152f,06Gr@1,0,[],0,214,0,0,0,108,0,100,100,100,13,100,87,0,107,2.00001522898674e-07,0,[]
000020251128H1309496249196qBU_LitaAgentY-LitaAgentYR-Maym.0021152f,10Eq@1,0,[],0,122,0,0,0,62,0,100,100,100,59,100,41,0,61,2.00001522898674e-07,0,[]
000020251128H1309496249196qBU_LitaAgentY-LitaAgentYR-Maym.0021152f,08Ra@1,0,[],0,166,0,0,0,84,0,100,100,100,37,100,63,0,83,3.0011869966983795e-07,0,[]
