world,type,contracts_erred,exceptions,contracts_dropped,contracts_signed,breaches_received,breaches_committed,contracts_breached,contracts_concluded,neg_requests_rejected,neg_requests_received,negs_initiated,negs_registered,negs_failed,neg_requests_sent,negs_succeeded,negs_timedout,contracts_executed,times,contracts_nullified,negotiator_exceptions
000020251128H1309496249196qBU_LitaAgentY-LitaAgentYR-LitaAgentNlkC.0119567d,System,0,[],0,440,0,0,0,231,0,0,0,0,0,0,0,0,220,4.00003045797348e-07,0,[]
000020251128H1309496249196qBU_LitaAgentY-LitaAgentYR-Maym.0021152f,scml.oneshot.sysagents.DefaultOneShotAdapter:scml.oneshot.agents.rand.EqualDistOneShotAgent,0,[],0,482,0,0,0,244,0,320,200,320,139,200,181,0,241,6.998889148235321e-07,0,[]
000020251128H1309496249196qBU_LitaAgentY-LitaAgentYR-Maym.0021152f,scml.oneshot.sysagents.DefaultOneShotAdapter:scml_agents.scml2025.oneshot.mat.mat.MATAgent,0,[],0,168,0,0,0,85,0,120,0,120,56,0,64,0,84,1.400010660290718e-06,0,[]
000020251128H1309496249196qBU_LitaAgentY-LitaAgentYR-Maym.0021152f,scml.oneshot.sysagents.DefaultOneShotAdapter:scml.oneshot.agents.greedy.GreedyOneShotAgent,0,[],0,432,0,0,0,218,0,220,100,220,44,100,176,0,216,4.998873919248581e-07,0,[]
000020251128H1309496249196qBU_LitaAgentY-LitaAgentYR-Maym.0021152f,scml.oneshot.sysagents.DefaultOneShotAdapter:litaagent_std.litaagent_yr.LitaAgentYR,0,[],0,120,0,0,0,61,0,120,0,120,80,0,40,0,60,3.0011869966983795e-07,0,[]
000020251128H1309496249196qBU_LitaAgentY-LitaAgentYR-Maym.0021152f,scml.oneshot.sysagents.DefaultOneShotAdapter:scml.oneshot.agents.rand.RandDistOneShotAgent,0,[],0,520,0,0,0,263,0,320,200,320,120,200,200,0,260,9.003560990095139e-07,0,[]
000020251128H1309496249196qBU_LitaAgentY-LitaAgentYR-Maym.0021152f,scml.oneshot.sysagents.DefaultOneShotAdapter:litaagent_std.litaagent_y.LitaAgentY,0,[],0,138,0,0,0,70,0,100,100,100,51,100,49,0,69,3.0011869966983795e-07,0,[]
000020251128H1309496249196qBU_LitaAgentY-LitaAgentYR-Maym.0021152f,System,0,[],0,440,0,0,0,231,0,0,0,0,0,0,0,0,220,5.00120222568512e-07,0,[]
000020251128H1309496249196qBU_LitaAgentY-LitaAgentYR-Maym.0239a16c,scml.oneshot.sysagents.DefaultOneShotAdapter:scml.oneshot.agents.rand.EqualDistOneShotAgent,0,[],0,484,0,0,0,245,0,320,200,320,136,200,182,0,242,4.002358764410019e-07,0,[]
000020251128H1309496249196qBU_LitaAgentY-LitaAgentYR-Maym.0239a16c,scml.oneshot.sysagents.DefaultOneShotAdapter:scml_agents.scml2025.oneshot.mat.mat.MATAgent,0,[],0,136,0,0,0,69,0,100,100,100,52,100,48,0,68,9.988434612751007e-08,0,[]
000020251128H1309496249196qBU_LitaAgentY-LitaAgentYR-Maym.0239a16c,scml.oneshot.sysagents.DefaultOneShotAdapter:scml.oneshot.agents.greedy.GreedyOneShotAgent,0,[],0,372,0,0,0,188,0,220,100,220,74,100,146,0,186,4.00003045797348e-07,0,[]
000020251128H1309496249196qBU_LitaAgentY-LitaAgentYR-Maym.0239a16c,scml.oneshot.sysagents.DefaultOneShotAdapter:litaagent_std.litaagent_yr.LitaAgentYR,0,[],0,156,0,0,0,79,0,120,0,120,60,0,58,0,78,8.00006091594696e-07,0,[]
000020251128H1309496249196qBU_LitaAgentY-LitaAgentYR-Maym.0239a16c,scml.oneshot.sysagents.DefaultOneShotAdapter:scml.oneshot.agents.rand.RandDistOneShotAgent,0,[],0,554,0,0,0,280,0,320,200,320,101,200,217,0,277,2.998858690261841e-07,0,[]
000020251128H1309496249196qBU_LitaAgentY-LitaAgentYR-Maym.0239a16c,scml.oneshot.sysagents.DefaultOneShotAdapter:litaagent_std.litaagent_y.LitaAgentY,0,[],0,158,0,0,0,80,0,120,0,120,59,0,59,0,79,2.00001522898674e-07,0,[]
000020251128H1309496249196qBU_LitaAgentY-LitaAgentYR-Maym.0239a16c,System,0,[],0,440,0,0,0,231,0,0,0,0,0,0,0,0,220,3.0011869966983795e-07,0,[]
000220251128H130949687433kHMw_LitaAgentY-LitaAgentP-M5XY.08a57b20,scml.oneshot.sysagents.DefaultOneShotAdapter:litaagent_std.litaagent_p.LitaAgentP,0,[],0,40,0,0,0,21,0,80,80,80,80,80,0,0,20,1.0011717677116394e-07,0,[]
000220251128H130949687433kHMw_LitaAgentY-LitaAgentP-M5XY.08a57b20,scml.oneshot.sysagents.DefaultOneShotAdapter:scml.oneshot.agents.rand.EqualDistOneShotAgent,0,[],0,122,0,0,0,62,0,80,0,80,39,0,41,0,61,2.00001522898674e-07,0,[]
000220251128H130949687433kHMw_LitaAgentY-LitaAgentP-M5XY.08a57b20,scml.oneshot.sysagents.DefaultOneShotAdapter:scml_agents.scml2025.oneshot.mat.mat.MATAgent,0,[],0,146,0,0,0,74,0,80,0,80,27,0,53,0,73,6.00004568696022e-07,0,[]
000220251128H130949687433kHMw_LitaAgentY-LitaAgentP-M5XY.08a57b20,scml.oneshot.sysagents.DefaultOneShotAdapter:scml.oneshot.agents.greedy.GreedyOneShotAgent,0,[],0,338,0,0,0,171,0,160,80,160,31,80,129,0,169,2.00001522898674e-07,0,[]
000220251128H130949687433kHMw_LitaAgentY-LitaAgentP-M5XY.08a57b20,scml.oneshot.sysagents.DefaultOneShotAdapter:litaagent_std.litaagent_yr.LitaAgentYR,0,[],0,112,0,0,0,57,0,80,0,80,44,0,36,1,56,2.00001522898674e-07,0,[]
000220251128H130949687433kHMw_LitaAgentY-LitaAgentP-M5XY.08a57b20,scml.oneshot.sysagents.DefaultOneShotAdapter:scml.oneshot.agents.rand.RandDistOneShotAgent,0,[],0,286,0,0,0,145,0,160,160,160,57,160,103,1,143,2.998858690261841e-07,0,[]
000220251128H130949687433kHMw_LitaAgentY-LitaAgentP-M5XY.08a57b20,System,0,[],0,320,0,0,0,168,0,0,0,0,0,0,0,0,160,3.0011869966983795e-07,0,[]
000020251128H1309496249196qBU_LitaAgentY-LitaAgentYR-LitaAgentNlkC.0247c86b,scml.oneshot.sysagents.DefaultOneShotAdapter:litaagent_std.litaagent_n.LitaAgentN,0,[],0,202,0,0,0,102,0,120,0,120,39,0,81,2,101,1.100124791264534e-06,0,[]
000020251128H1309496249196qBU_LitaAgentY-LitaAgentYR-LitaAgentNlkC.0247c86b,scml.oneshot.sysagents.DefaultOneShotAdapter:scml.oneshot.agents.rand.EqualDistOneShotAgent,0,[],0,506,0,0,0,256,0,320,200,320,127,200,193,1,253,8.00006091594696e-07,0,[]
000020251128H1309496249196qBU_LitaAgentY-LitaAgentYR-LitaAgentNlkC.0247c86b,scml.oneshot.sysagents.DefaultOneShotAdapter:scml.oneshot.agents.greedy.GreedyOneShotAgent,0,[],0,374,0,0,0,189,0,220,100,220,73,100,147,13,187,3.0011869966983795e-07,0,[]
000020251128H1309496249196qBU_LitaAgentY-LitaAgentYR-LitaAgentNlkC.0247c86b,scml.oneshot.sysagents.DefaultOneShotAdapter:litaagent_std.litaagent_yr.LitaAgentYR,0,[],0,114,0,0,0,58,0,100,100,100,63,100,37,28,57,9.988434612751007e-08,0,[]
000020251128H1309496249196qBU_LitaAgentY-LitaAgentYR-LitaAgentNlkC.0247c86b,scml.oneshot.sysagents.DefaultOneShotAdapter:scml.oneshot.agents.rand.RandDistOneShotAgent,0,[],0,544,0,0,0,275,0,320,200,320,108,200,212,0,272,4.00003045797348e-07,0,[]
000020251128H1309496249196qBU_LitaAgentY-LitaAgentYR-LitaAgentNlkC.0247c86b,scml.oneshot.sysagents.DefaultOneShotAdapter:litaagent_std.litaagent_y.LitaAgentY,0,[],0,124,0,0,0,63,0,120,0,120,78,0,42,12,62,2.00001522898674e-07,0,[]
000020251128H1309496249196qBU_LitaAgentY-LitaAgentYR-LitaAgentNlkC.0247c86b,System,0,[],0,440,0,0,0,231,0,0,0,0,0,0,0,0,220,8.00006091594696e-07,0,[]
000220251128H130949687433kHMw_LitaAgentY-LitaAgentN-MMly.06093bae,scml.oneshot.sysagents.DefaultOneShotAdapter:litaagent_std.litaagent_n.LitaAgentN,0,[],0,40,0,0,0,21,0,80,80,80,80,80,0,0,20,2.00001522898674e-07,0,[]
000220251128H130949687433kHMw_LitaAgentY-LitaAgentN-MMly.06093bae,scml.oneshot.sysagents.DefaultOneShotAdapter:scml.oneshot.agents.rand.EqualDistOneShotAgent,0,[],0,126,0,0,0,64,0,80,0,80,37,0,43,0,63,2.00001522898674e-07,0,[]
